counterfactual_effect,dataset,decision,holdout_ci_high,holdout_ci_low,holdout_effect,hypothesis,p_value,q_value,query,reason,support_holdout,support_validation,validation_effect
0.4118333129992056,AdultIncome,accepted,0.4605449528035656,0.3955928584041811,0.42943997423768343,IF x2 = 1 AND x3 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_education_bachelors_plus = 1 AND adult_hours_ge_45 = 1 -> P(y=1) increases,passes all verification gates,0.10347598955193892,0.10539535818346227,0.4309290626335611
0.386013773036249,AdultIncome,accepted,0.45685501651255117,0.3871452208933417,0.42370852403509807,IF x4 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_capital_gain_positive = 1 -> P(y=1) increases,passes all verification gates,0.08237894313843681,0.0833919421280016,0.4157127028336958
0.42536104725505464,AdultIncome,accepted,0.4318316054602231,0.37631826676817526,0.4058766774764513,IF x0 = 1 AND x2 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_40 = 1 AND adult_education_bachelors_plus = 1 -> P(y=1) increases,passes all verification gates,0.12708458910990555,0.1284034964332362,0.4255169956659587
0.3559105336254761,AdultIncome,accepted,0.3913545507754536,0.359995720269257,0.3748348181861072,IF x7 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_married = 1 -> P(y=1) increases,passes all verification gates,0.47207152903355437,0.4883954586556817,0.38520254270608223
0.30959749225325295,AdultIncome,accepted,0.3429527940216504,0.30179701937490444,0.32338448806036024,IF x2 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_education_bachelors_plus = 1 -> P(y=1) increases,passes all verification gates,0.2529636327104682,0.2493720486285542,0.33377606951013705
0.32897835089087707,AdultIncome,accepted,0.3264055915807203,0.2675914365790826,0.29753919860627176,IF x0 = 1 AND x3 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_40 = 1 AND adult_hours_ge_45 = 1 -> P(y=1) increases,passes all verification gates,0.1350210970464135,0.1371445795237617,0.3241557774627174
0.24410325190973922,AdultIncome,accepted,0.28855397131585897,0.24226396407897632,0.26806033311516103,IF x8 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_exec_managerial = 1 -> P(y=1) increases,passes all verification gates,0.13029937713482018,0.1342308851602532,0.270767331531668
0.2110001422853563,AdultIncome,accepted,0.2696576051004833,0.21159316846431045,0.2407366808910078,IF x9 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_professional_specialty = 1 -> P(y=1) increases,passes all verification gates,0.13622664255575648,0.13342710740480257,0.23655412956172517
0.2246283851291508,AdultIncome,accepted,0.24414942031790446,0.2089466667465612,0.2255619922852363,IF x3 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_hours_ge_45 = 1 -> P(y=1) increases,passes all verification gates,0.27998794454490655,0.2872500753541646,0.23882790958924344
0.20653860708672941,AdultIncome,accepted,0.20955293122242047,0.1799214664674532,0.19484559781359354,IF x10 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_male = 1 -> P(y=1) increases,passes all verification gates,0.6694796061884669,0.6818044810609867,0.21298744578145296
0.23014552784703768,AdultIncome,accepted,0.20876650603501692,0.17641315525880122,0.19326008093289201,IF x0 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_40 = 1 -> P(y=1) increases,passes all verification gates,0.43319268635724334,0.4365517934291169,0.20815237643412582
-0.08323364926513427,AdultIncome,accepted,-0.08672751424274261,-0.13001524083707242,-0.10712915391204403,IF x6 = 1 THEN y = 1 decreases,0.0038314176245210726,0.0038314176245210726,adult_private_workclass = 1 -> P(y=1) decreases,passes all verification gates,0.7410086397428169,0.7393750627951371,-0.1174559225649876
0.5735960626909297,AdultIncome,rejected,0.6297779826755103,0.5534707119649979,0.5929267365841426,IF x2 = 1 AND x4 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_education_bachelors_plus = 1 AND adult_capital_gain_positive = 1 -> P(y=1) increases,insufficient support,0.03646775165762507,0.03416055460665126,0.603761144528549
0.5076682662737843,AdultIncome,rejected,0.5939988815407927,0.5114157903069309,0.5538725360246919,IF x3 = 1 AND x4 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_hours_ge_45 = 1 AND adult_capital_gain_positive = 1 -> P(y=1) increases,insufficient support,0.03536266827406068,0.034060082387219935,0.5268576492124011
0.49061729053696573,AdultIncome,rejected,0.5520905030645018,0.4389234148694506,0.49935076535614226,IF x2 = 1 AND x5 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_education_bachelors_plus = 1 AND adult_capital_loss_positive = 1 -> P(y=1) increases,insufficient support,0.018886879646373318,0.01929066613081483,0.5046357955127548
0.5043465936444055,AdultIncome,rejected,0.5274517917858773,0.44701672354787203,0.4885422940315194,IF x0 = 1 AND x4 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_40 = 1 AND adult_capital_gain_positive = 1 -> P(y=1) increases,insufficient support,0.04802089612216195,0.04882949864362504,0.4846138698819942
0.39801656777978833,AdultIncome,rejected,0.5053930692169561,0.36671447914336097,0.43582871311954974,IF x3 = 1 AND x5 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_hours_ge_45 = 1 AND adult_capital_loss_positive = 1 -> P(y=1) increases,insufficient support,0.016576250753465943,0.019793027227971466,0.41815215106465786
0.27972316175425627,AdultIncome,rejected,0.4566756411036599,0.3108872807496636,0.3917601510648282,IF x1 = 1 AND x4 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_55 = 1 AND adult_capital_gain_positive = 1 -> P(y=1) increases,insufficient support,0.014667470363672896,0.015171305134130413,0.39325127592557807
0.38664877524820773,AdultIncome,rejected,0.4386891413985476,0.3129967127329684,0.37244897959183665,IF x0 = 1 AND x5 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_40 = 1 AND adult_capital_loss_positive = 1 -> P(y=1) increases,insufficient support,0.02531645569620253,0.026524665929870392,0.37608878547055863
0.2044808743169399,AdultIncome,rejected,0.409043796454298,0.17947833089954876,0.2914060127543273,IF x1 = 1 AND x5 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_55 = 1 AND adult_capital_loss_positive = 1 -> P(y=1) increases,insufficient support,0.007534659433393611,0.007535416457349542,0.32065060403590473
0.2728944317863853,AdultIncome,rejected,0.34079398033251834,0.23982843831248324,0.2891240997146265,IF x1 = 1 AND x2 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_55 = 1 AND adult_education_bachelors_plus = 1 -> P(y=1) increases,insufficient support,0.031042796865581677,0.031146388023711443,0.3826248691178291
0.2636205969642652,AdultIncome,rejected,0.30415772078814085,0.2229300602529196,0.2643148840038231,IF x5 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_capital_loss_positive = 1 -> P(y=1) increases,insufficient support,0.04781997187060478,0.04601627649954788,0.293333655267884
0.12212668444480494,AdultIncome,rejected,0.27626765631882855,0.17675500132740332,0.22566549396789926,IF x1 = 1 AND x3 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_55 = 1 AND adult_hours_ge_45 = 1 -> P(y=1) increases,insufficient support,0.031042796865581677,0.029337888073947552,0.23819040826483545
-0.07858572606011677,AdultIncome,rejected,0.0851796382761314,0.03661988387626534,0.05774993299579814,IF x1 = 1 THEN y = 1 increases,0.0038314176245210726,0.0038314176245210726,adult_age_ge_55 = 1 -> P(y=1) increases,matched counterfactual contrast is weak,0.12618042997789833,0.12217421882849393,0.06913730474750454
-0.26555326369019894,GermanCredit,accepted,-0.25848279019774717,-0.42802792222603664,-0.3356898786379168,IF x0 = 1 THEN y = 1 decreases,0.0038314176245210726,0.008359456635318703,german_checking_none = 1 -> P(y=1) decreases,passes all verification gates,0.37272727272727274,0.403030303030303,-0.3267814205564673
0.21887125220458553,GermanCredit,accepted,0.4872751220348028,0.17668613801452784,0.3315602836879433,IF x1 = 1 AND x2 = 1 THEN y = 1 increases,0.0038314176245210726,0.008359456635318703,german_checking_bad = 1 AND german_duration_ge_24 = 1 -> P(y=1) increases,passes all verification gates,0.14545454545454545,0.10606060606060606,0.3486682808716707
