counterfactual_effect,decision,failure_type,holdout_effect,hypothesis,method,p_value,q_value,reason,seed,support_holdout,support_validation,validation_effect
0.24504760193377828,accepted,valid,0.12329436863860616,IF x0 = 1 THEN y = 1 increases,FullVerifier,0.00398406374501992,0.02151394422310757,passes all verification gates,0,0.5033333333333333,0.5044444444444445,0.24974812824717016
0.5028923305756411,rejected,holdout,-0.6309883813464905,IF x5 = 1 THEN y = 1 increases,FullVerifier,0.00398406374501992,0.02151394422310757,held-out effect does not replicate,0,0.5422222222222223,0.4111111111111111,0.5815910249872515
0.438786584876904,rejected,support,0.4762503932054105,IF x2 = 1 THEN y = 1 increases,FullVerifier,0.00398406374501992,0.02151394422310757,insufficient support,0,0.03666666666666667,0.017777777777777778,0.4934954751131222
0.0,rejected,counterfactual,0.2023470839260313,IF x4 = 1 THEN y = 1 increases,FullVerifier,0.00398406374501992,0.02151394422310757,matched counterfactual contrast is weak,0,0.49333333333333335,0.5022222222222222,0.27042509481668775
0.023830639400433437,rejected,redundant,0.09548364153627314,IF x6 = 1 THEN y = 1 increases,FullVerifier,0.00398406374501992,0.02151394422310757,matched counterfactual contrast is weak,0,0.5066666666666667,0.5044444444444445,0.22307935441812687
0.04099078070295743,rejected,fdr_null,-0.00604635539133358,IF x10 = 1 THEN y = 1 increases,FullVerifier,0.027888446215139442,0.1254980079681275,not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5088888888888888,0.4911111111111111,0.07167697445118454
0.0633691930661077,rejected,fdr_null,-0.022494331961808056,IF x13 = 1 THEN y = 1 increases,FullVerifier,0.11553784860557768,0.3899402390438247,weak validation effect; not significant after FDR correction; held-out effect does not replicate,0,0.4922222222222222,0.5055555555555555,0.04383257192245954
0.046441258703058146,rejected,fdr_null,-0.011466723292460679,IF x27 = 1 THEN y = 1 increases,FullVerifier,0.11553784860557768,0.3899402390438247,weak validation effect; not significant after FDR correction; held-out effect does not replicate,0,0.4988888888888889,0.5,0.04222222222222227
0.050818791408955365,rejected,fdr_null,-0.04773545490910708,IF x18 = 1 THEN y = 1 increases,FullVerifier,0.15139442231075698,0.4541832669322709,weak validation effect; not significant after FDR correction; held-out effect does not replicate,0,0.49666666666666665,0.5011111111111111,0.036321167018108724
0.02610562672180948,rejected,fdr_null,-0.007467256672132105,IF x15 = 1 THEN y = 1 increases,FullVerifier,0.24302788844621515,0.6561752988047809,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5044444444444445,0.48444444444444446,0.0226391964568175
0.0004916815550803399,rejected,fdr_null,-0.007563959955506128,IF x26 = 1 THEN y = 1 increases,FullVerifier,0.27091633466135456,0.664976457805143,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.48333333333333334,0.47444444444444445,0.022453718603165806
0.01052471675425857,rejected,statistical,0.22664047996986736,IF x3 = 1 THEN y = 1 increases,FullVerifier,0.43824701195219123,0.8390438247011951,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak,0,0.24222222222222223,0.058888888888888886,0.012586041745561438
0.008294772661350388,rejected,fdr_null,0.04088904725847403,IF x22 = 1 THEN y = 1 increases,FullVerifier,0.46215139442231074,0.8390438247011951,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5233333333333333,0.4922222222222222,0.003531718786274174
0.0021196535520062636,rejected,fdr_null,0.019478305555418296,IF x16 = 1 THEN y = 1 increases,FullVerifier,0.46613545816733065,0.8390438247011951,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5122222222222222,0.49666666666666665,0.002148243625642643
0.0027364430235243277,rejected,fdr_null,-0.009855649576903935,IF x17 = 1 THEN y = 1 increases,FullVerifier,0.4262948207171315,0.8390438247011951,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.45555555555555555,0.49333333333333335,0.010964912280701733
-0.02207062550404672,rejected,fdr_null,0.05992176386913228,IF x8 = 1 THEN y = 1 increases,FullVerifier,0.6414342629482072,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5066666666666667,0.5166666666666667,-0.006303299962921782
0.002478669311273869,rejected,fdr_null,-0.050608017630287716,IF x21 = 1 THEN y = 1 increases,FullVerifier,0.649402390438247,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.48777777777777775,0.51,-0.006447023253745965
-0.021584447985064287,rejected,fdr_null,0.04429816758583882,IF x7 = 1 THEN y = 1 increases,FullVerifier,0.7330677290836654,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5133333333333333,0.5055555555555555,-0.01839733300407459
-0.008330546544802381,rejected,fdr_null,0.0431590656284761,IF x12 = 1 THEN y = 1 increases,FullVerifier,0.5657370517928287,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5166666666666667,0.5011111111111111,-0.0036790305137309187
-0.027996162215335428,rejected,fdr_null,-0.03023715415019762,IF x24 = 1 THEN y = 1 increases,FullVerifier,0.7450199203187251,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.4888888888888889,0.4822222222222222,-0.018937521014220415
-0.010218367469946537,rejected,fdr_null,-0.021929042610090932,IF x11 = 1 THEN y = 1 increases,FullVerifier,0.6334661354581673,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.47333333333333333,0.5155555555555555,-0.004844194875039565
-0.021640201190946638,rejected,fdr_null,0.02151153603034134,IF x9 = 1 THEN y = 1 increases,FullVerifier,0.701195219123506,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.49777777777777776,0.4777777777777778,-0.017565561603166746
-0.006370847774250593,rejected,fdr_null,0.001422334604215647,IF x23 = 1 THEN y = 1 increases,FullVerifier,0.601593625498008,0.8745886021132859,weak validation effect; not significant after FDR correction; matched counterfactual contrast is weak; held-out effect does not replicate,0,0.5044444444444445,0.5211111111111111,-0.007692726292303775
